N_EXPEDIENT,CODI_DISTRICTE,DISTRICTE,CODI_BARRI,BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA,NUMERO_REGISTRE_GENERALITAT,NUMERO_PLACES,LONGITUD_X,LATITUD_Y
02-2011-1175,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,VALENCIA,2,358,,,,,,E,2,2,HUTB-001297,7,2.1691302489704971,41.395913733297299
02-2011-1176,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,VALENCIA,2,358,,,,,,I,3,2,HUTB-001298,8,2.1691302489704971,41.395913733297299
02-2011-1177,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,VALENCIA,2,358,,,,,,E,4,2,HUTB-001299,7,2.1691302489704971,41.395913733297299
02-2011-1178,2,L'EIXAMPLE,5,el Fort Pienc,Gran Via,CORTS CATALANES,2,734,,,,,,,6,1,HUTB-003608,10,2.1776433061264964,41.395111550902591
02-2011-1324,2,L'EIXAMPLE,5,el Fort Pienc,Carrer,ARAGO,2,424,,,,,,E,7,2,HUTB-003753,8,2.1742063953046085,41.397962966287459
02-2011-1325,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,MALLORCA,2,362,,,,,,,1,1,HUTB-001047,3,2.1708426332694857,41.398889894214889
10-2012-0011,10,SANT MARTI,65,el Clot,Avinguda,MERIDIANA,1,109,,,,,,,1,2,HUTB-000082,5,2.1854619273945692,41.406019440646098
03-2011-0319,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,MATA,2,24,,,,,,,3,1,HUTB-000065,4,2.1694440568074,41.370666588073142
03-2011-0320,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,MATA,2,24,,,,,,,2,1,HUTB-000066,4,2.1694440568074,41.370666588073142
03-2011-0321,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,MATA,2,24,,,,,,,1,2,HUTB-000067,5,2.1694440568074,41.370666588073142
03-2011-0323,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,MATA,2,24,,,,,,,EN,2,HUTB-000068,4,2.1694440568074,41.370666588073142
